TAG,Value,Time
I,65789,36156
B,65792,148
R,65794,23730
B,65797,85
I,65799,36104
B,65801,161
R,65804,23781
B,65806,93
I,65808,36094
B,65811,146
R,65813,23715
B,65816,95
I,65818,36118
B,65820,160
R,65823,23714
B,65825,93
I,65827,36137
B,65830,139
R,65832,23744
B,65834,106
I,65837,36141
B,65839,146
R,65842,23751
B,65844,88
I,65846,36065
B,65849,148
R,65851,23728
B,65853,105
I,65856,36151
B,65858,144
R,65861,23747
B,65863,82
I,65865,36109
B,65868,155
R,65870,23762
B,65872,90
I,65875,36102
B,65877,142
R,65879,23715
B,65882,88
I,65884,36103
B,65887,158
R,65889,23742
B,65891,92
I,65894,36109
B,65896,140
R,65898,23737
B,65901,100
I,65903,36130
B,65905,149
R,65908,23686
B,65910,90
I,65913,36096
B,65915,141
R,65917,23716
B,65920,106
I,65922,36153
B,65924,150
R,65927,23710
B,65929,80
I,65932,36077
B,65934,151
R,65936,23738
B,65939,94
I,65941,36105
B,65943,148
R,65946,23704
B,65948,90
I,65950,36113
B,65953,160
R,65955,23728
B,65958,94
I,65960,36110
B,65962,137
R,65965,23713
B,65967,101
I,65969,36124
B,65972,150
R,65974,23696
B,65977,91
I,65979,36071
B,65981,141
R,65984,23712
B,65986,109
I,65988,36138
B,65991,145
R,65993,23715
B,65995,85
I,65998,36120
B,66000,150
R,66003,23694
B,66005,95
I,66007,36131
B,66010,141
R,66012,23703
B,66014,88
I,66017,36125
B,66019,158
R,66021,23737
B,66024,95
I,66026,36138
B,66029,139
R,66031,23691
B,66033,100
I,66036,36164
B,66038,153
R,66040,23715
B,66043,92
I,66045,36122
B,66048,149
R,66050,23695
B,66052,109
I,66055,36129
B,66057,151
R,66059,23696
B,66062,87
I,66064,36117
B,66066,149
R,66069,23712
B,66071,98
I,66074,36124
B,66076,147
R,66078,23690
B,66081,85
I,66083,36104
B,66085,156
R,66088,23737
B,66090,91
I,66092,36124
B,66095,137
R,66097,23727
B,66100,99
I,66102,36123
B,66104,151
