TAG,Time,Value
I,63670,35432
B,63672,137
R,63675,23473
B,63677,242
I,63680,35697
B,63682,132
R,63684,23184
B,63687,74
I,63689,35585
B,63691,274
R,63694,23529
B,63696,176
I,63699,35644
B,63701,129
R,63703,23210
B,63706,85
I,63708,35726
B,63710,302
R,63713,23432
B,63715,83
I,63717,35409
B,63720,128
R,63722,23239
B,63725,208
I,63727,35749
B,63729,237
R,63732,23293
B,63734,77
I,63736,35368
B,63739,125
R,63741,23404
B,63744,255
I,63746,35707
B,63748,148
R,63751,23077
B,63753,79
I,63755,35439
B,63758,250
R,63760,23474
B,63762,184
I,63765,35553
B,63767,123
R,63770,23093
B,63772,74
I,63774,35708
B,63777,306
R,63779,23410
B,63781,96
I,63784,35392
B,63786,117
R,63788,23176
B,63791,183
I,63793,35765
B,63796,239
R,63798,23282
B,63800,75
I,63803,35336
B,63805,122
R,63807,23356
B,63810,265
I,63812,35657
B,63815,161
R,63817,23124
B,63819,74
I,63822,35391
B,63824,226
R,63826,23460
B,63829,200
I,63831,35518
B,63833,123
R,63836,23092
B,63838,72
I,63841,35543
B,63843,315
R,63845,23410
B,63848,113
I,63850,35380
B,63852,117
R,63855,23178
B,63857,158
I,63860,35693
B,63862,255
R,63864,23317
B,63867,77
I,63869,35271
B,63871,124
R,63874,23261
B,63876,260
I,63878,35613
B,63881,177
R,63883,23144
B,63886,78
I,63888,35325
B,63890,201
R,63893,23435
B,63895,211
I,63897,35529
B,63900,124
R,63902,23031
B,63904,73
I,63907,35472
B,63909,307
R,63912,23369
B,63914,125
I,63916,35358
B,63919,126
R,63921,23097
B,63923,140
I,63926,35674
B,63928,266
R,63931,23299
B,63933,74
I,63935,35298
B,63938,120
R,63940,23261
B,63942,264
I,63945,35653
B,63947,188
R,63949,23192
B,63952,77
I,63954,35387
B,63957,173
R,63959,23438
B,63961,223
I,63964,35635
B,63966,123
R,63968,23093
B,63971,74
I,63973,35515
B,63976,308
R,63978,23444
B,63980,150
I,63983,35478
B,63985,123
R,63987,23137
B,63990,116
I,63992,35751
B,63994,277
R,63997,23369
B,63999,71
I,64002,35409
B,64004,121
R,64006,23307
B,64009,248
I,64011,35788
B,64013,203
R,64016,23257
B,64018,84
I,64021,35461
B,64023,159
R,64025,23506
B,64028,240
I,64030,35710
B,64032,126
R,64035,23141
B,64037,76
I,64039,35592
B,64042,287
R,64044,23480
B,64047,164
I,64049,35572
B,64051,127
R,64054,23177
B,64056,98
I,64058,35759
B,64061,284
R,64063,23424
B,64065,79
I,64068,35465
B,64070,121
R,64073,23278
B,64075,224
I,64077,35799
B,64080,224
R,64082,23263
B,64084,75
I,64087,35472
B,64089,142
R,64092,23470
B,64094,250
I,64096,35732
B,64099,133
R,64101,23150
B,64103,74
I,64106,35581
B,64108,268
R,64110,23479
B,64113,171
I,64115,35616
B,64118,126
R,64120,23192
B,64122,87
I,64125,35766
B,64127,299
R,64129,23376
B,64132,86
I,64134,35502
B,64137,128
R,64139,23261
B,64141,208
I,64144,35892
B,64146,241
R,64148,23289
B,64151,79
I,64153,35498
B,64155,128
R,64158,23454
B,64160,250
I,64163,35820
B,64165,143
R,64167,23170
B,64170,74
I,64172,35588
B,64174,255
R,64177,23542
B,64179,181
I,64181,35717
B,64184,126
R,64186,23178
B,64189,74
I,64191,35885
B,64193,305
R,64196,23498
B,64198,94
I,64200,35593
B,64203,125
R,64205,23267
B,64208,193
I,64210,35916
B,64212,251
R,64215,23435
B,64217,76
I,64219,35549
B,64222,121
R,64224,23448
B,64226,268
I,64229,35909
B,64231,159
R,64234,23251
B,64236,78
I,64238,35630
B,64241,240
R,64243,23538
B,64245,201
I,64248,35811
B,64250,127
R,64253,23205
B,64255,81
I,64257,35850
B,64260,317
R,64262,23562
B,64264,109
I,64267,35670
B,64269,124
R,64271,23259
B,64274,172
I,64276,35994
B,64279,257
R,64281,23418
B,64283,75
I,64286,35590
B,64288,116
R,64290,23413
B,64293,261
I,64295,35978
B,64298,180
R,64300,23289
B,64302,78
I,64305,35653
B,64307,213
R,64309,23597
B,64312,216
I,64314,35906
B,64316,133
R,64319,23217
B,64321,74
I,64324,35807
B,64326,315
R,64328,23525
B,64331,128
I,64333,35687
B,64335,121
R,64338,23276
B,64340,142
I,64342,36028
B,64345,267
R,64347,23464
B,64350,73
I,64352,35618
B,64354,125
R,64357,23408
B,64359,262
I,64361,35976
B,64364,191
R,64366,23299
B,64369,73
I,64371,35649
B,64373,180
R,64376,23582
B,64378,216
I,64380,35924
B,64383,124
R,64385,23206
B,64387,76
I,64390,35842
B,64392,306
R,64395,23536
B,64397,150
I,64399,35736
B,64402,125
R,64404,23272
B,64406,120
I,64409,36052
B,64411,274
R,64414,23503
B,64416,72
I,64418,35629
B,64421,125
R,64423,23408
B,64425,252
I,64428,36025
B,64430,212
R,64432,23350
B,64435,80
I,64437,35730
B,64440,161
R,64442,23570
B,64444,233
I,64447,35927
B,64449,125
R,64451,23246
B,64454,79
I,64456,35797
B,64458,309
R,64461,23610
B,64463,163
I,64466,35803
B,64468,120
R,64470,23213
B,64473,105
I,64475,36018
B,64477,301
R,64480,23472
B,64482,74
I,64485,35607
B,64487,119
R,64489,23333
B,64492,235
I,64494,36022
B,64496,228
R,64499,23308
B,64501,81
I,64503,35639
B,64506,155
R,64508,23470
B,64511,241
I,64513,35903
B,64515,124
R,64518,23227
B,64520,75
I,64522,35727
B,64525,274
R,64527,23514
B,64530,172
I,64532,35762
B,64534,129
R,64537,23183
B,64539,95
I,64541,35900
B,64544,301
R,64546,23439
B,64548,83
I,64551,35543
B,64553,128
R,64556,23300
