TAG,Value,Time
B,16,84375
I,45094,84376
B,4585,84379
R,47596,84381
B,9,84384
I,45065,84385
B,4627,84388
R,47708,84390
B,16,84392
I,45088,84394
B,4595,84397
R,47724,84399
B,9,84401
I,45120,84403
B,4646,84406
R,47670,84408
B,19,84410
I,45145,84412
B,4620,84415
R,47676,84417
B,25,84419
I,45180,84421
B,4595,84424
R,47593,84426
B,19,84428
I,45088,84430
B,4598,84433
R,47510,84435
B,19,84437
I,45046,84439
B,4604,84442
R,47468,84444
B,28,84446
I,44915,84448
B,4595,84451
R,47353,84453
B,19,84455
I,44710,84457
B,4572,84460
R,47315,84462
B,19,84464
I,44649,84466
B,4560,84469
R,47177,84471
B,19,84473
I,44595,84475
B,4560,84478
R,47180,84480
B,19,84482
I,44496,84484
B,4569,84487
R,47209,84489
B,19,84491
I,44480,84493
B,4582,84496
R,47196,84498
B,16,84500
I,44387,84502
B,4576,84505
R,47161,84507
B,25,84509
I,44358,84511
B,4540,84514
R,47123,84516
B,28,84518
I,44425,84520
B,4582,84523
R,47043,84525
B,19,84527
I,44412,84529
B,4585,84532
R,47030,84534
B,19,84536
I,44307,84538
B,4576,84541
R,47126,84543
B,19,84545
I,44406,84547
B,4572,84550
R,47094,84552
B,22,84554
I,44454,84556
B,4556,84559
R,47088,84561
B,16,84563
I,44467,84565
B,4560,84568
R,47132,84570
B,19,84572
I,44563,84574
B,4563,84577
R,47187,84579
B,25,84581
I,44544,84583
B,4569,84586
R,47190,84588
B,16,84590
I,44467,84592
B,4582,84595
R,47196,84597
B,19,84600
I,44540,84601
B,4556,84604
R,47145,84606
B,19,84609
I,44528,84610
B,4579,84613
R,47126,84615
B,9,84618
I,44508,84619
B,4560,84622
R,47232,84624
B,12,84626
I,44569,84628
B,4566,84631
R,47219,84633
B,22,84635
I,44611,84637
B,4569,84640
R,47225,84642
B,25,84644
I,44585,84646
B,4620,84649
R,47225,84651
B,19,84653
I,44572,84655
B,4614,84658
R,47241,84660
B,16,84662
I,44649,84664
B,4585,84667
R,47174,84669
B,9,84671
I,44656,84673
B,4592,84676
R,47321,84678
B,16,84680
I,44684,84682
B,4553,84685
R,47216,84687
B,16,84689
I,44688,84691
B,4553,84694
R,47209,84696
B,16,84698
I,44732,84700
B,4585,84703
R,47260,84705
B,16,84707
I,44700,84709
B,4646,84712
R,47340,84714
B,22,84716
I,44624,84718
B,4579,84721
R,47353,84723
B,9,84725
I,44681,84727
B,4556,84730
R,47318,84732
B,19,84734
I,44665,84736
B,4483,84739
